drug_name,drug_generic_name,mode_administration,description,Date of Approval,Company,Treatment for,drug_type,disease_type,,,
Rydapt,midostaurin,Capsules,"Rydapt (midostaurin) is an oral, multi-targeted kinase inhibitor for the treatment of acute myeloid leukemia (AML) in newly-diagnosed adults with an FMS-like tyrosine kinase-3 (FLT3) mutation, and for the treatment of advanced systemic mastocytosis (SM), which includes aggressive systemic mastocytosis (ASM), systemic mastocytosis with associated hematological neoplasm (SM-AHN) and mast cell leukemia.",2017-04-28,Novartis,"Acute Myeloid Leukemia, Systemic Mastocytosis",Antineoplastics,Hematological Disorders,,,
Brineura,cerliponase alfa,Injection,"Brineura (cerliponase alfa) is an enzyme replacement therapy for the restoration of tripeptidyl peptidase-1 (TPP1) enzyme activity in patients with late infantile neuronal ceroid lipofuscinosis type 2 (CLN2), or TPP1 deficiency, a form of Batten disease.",2017-04-27,Biomarin Pharmaceutical,CLN2 Disease,Neurological,Genetic Disorders,,,
Xatmep,methotrexate,Oral Solution,Xatmep (methotrexate) is a folate analog metabolic inhibitor in an oral solution formulation indicated for the treatment of pediatric patients with acute lymphoblastic leukemia (ALL) and for the management of pediatric patients with active polyarticular juvenile idiopathic arthritis.,2017-04-25,Silvergate Pharmaceuticals,"Acute Lymphoblastic Leukemia, Juvenile Idiopathic Arthritis",Antineoplastics,Hematological Disorders,,,
RoxyBond,oxycodone hydrochloride,Tablets,"RoxyBond (oxycodone hydrochloride) is an immediate-release, abuse-deterrent, narcotic analgesic formulation for the management of severe pain.",2017-04-20,Protega Pharmaceuticals,Pain,Analgesics,Musculoskeletal Disorders,,,
Renflexis,infliximab-abda,Injection,"Renflexis (infliximab-abda) is a tumor necrosis factor (TNF) blocker biosimilar to Remicade (infliximab) indicated for the treatment of Crohn’s disease, ulcerative colitis, rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis and plaque psoriasis.",2017-04-21,Samsung Bioepis Co,"Crohn's Disease, Maintenance, Ulcerative Colitis, Rheumatoid Arthritis, Ankylosing Spondylitis, Psoriatic Arthritis, Plaque Psoriasis",Immunological,Autoimmune Diseases,,,
Ingrezza,valbenazine,Capsules,Ingrezza (valbenazine) is a vesicular monoamine transporter 2 (VMAT2) inhibitor indicated for the treatment of tardive dyskinesia and chorea associated with Huntington’s disease.,2017-04-11,Neurocrine Biosciences,"Tardive Dyskinesia, Huntington's Disease",Neurological,Neurological Disorders,,,
Austedo,deutetrabenazine,Tablets,"Austedo (deutetrabenazine) is a vesicular monoamine transporter 2 (VMAT2) inhibitor
indicated for the treatment of chorea associated with Huntington’s disease and the treatment of tardive dyskinesia.",2017-04-03,Teva Pharmaceutical Industries,"Huntington's Disease, Tardive Dyskinesia",Neurological,Neurological Disorders,,,
Ocrevus,ocrelizumab,Injection,"Ocrevus (ocrelizumab) is a humanized monoclonal antibody designed to selectively target CD20-positive B cells, a specific type of immune cell thought to be a key contributor to myelin and axonal nerve cell damage. Ocrevus is indicated as a treatment for both relapsing (RMS) and primary progressive (PPMS) forms of multiple sclerosis.",2017-03-28,Genentech,Multiple Sclerosis,Immunological,Neurological Disorders,,,
Dupixent,dupilumab,Injection,"Dupixent (dupilumab) is an interleukin-4 receptor alpha antagonist used for the treatment of atopic dermatitis, asthma, chronic rhinosinusitis with nasal polyposis, eosinophilic esophagitis, and prurigo nodularis.",2017-03-28,Regeneron Pharmaceuticals,"Atopic Dermatitis, Asthma, Chronic Rhinosinusitis With Nasal Polyps, Eosinophilic Esophagitis, Prurigo Nodularis",Immunological,Dermatological Conditions,,,
Zejula,niraparib,Capsules and Tablets,"Zejula (niraparib) is an oral, poly ADP-ribose polymerase (PARP) inhibitor for the treatment of patients with ovarian, fallopian tube, or primary peritoneal cancer.",2017-03-27,Gsk,"Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer",Antineoplastics,Cancers,,,
Symproic,naldemedine,Tablets,Symproic (naldemedine) is a peripherally-acting mu-opioid receptor antagonist for the treatment of opioid-induced constipation.,2017-03-23,Shionogi,Opioid-Induced Constipation,Gastrointestinal,Gastrointestinal Diseases,,,
Bavencio,avelumab,Injection,"Bavencio (avelumab) is a programmed death ligand-1 (PD-L1) blocking antibody
indicated for the treatment of patients with metastatic Merkel cell carcinoma (MCC); patients with advanced or metastatic urothelial carcinoma; and in combination with axitinib for patients with advanced renal cell carcinoma.",2017-03-23,Emd Serono,"Merkel Cell Carcinoma, Urothelial Carcinoma, Renal Cell Carcinoma",Antineoplastics,Cancers,,,
Xadago,safinamide,Tablets,"Xadago (safinamide) is a monoamine oxidase type B (MAO-B) inhibitor indicated as an adjunctive treatment to levodopa/carbidopa in patients with Parkinson’s
disease (PD) experiencing “off” episodes.",2017-03-21,Newron Pharmaceuticals Spa,Parkinson's Disease,Neurological,Neurological Disorders,,,
Kisqali,ribociclib,Tablets,Kisqali (ribociclib) is an inhibitor of cyclin-dependent kinase (CDK) 4 and 6 indicated for the combination treatment of pre/perimenopausal or postmenopausal women with HR+/HER2- metastatic breast cancer.,2017-03-13,Novartis Pharmaceuticals,Breast Cancer,Antineoplastics,Cancers,,,
Noctiva,desmopressin acetate,Nasal Spray,Noctiva (desmopressin acetate) is vasopressin analog nasal spray indicated for the treatment of nocturia due to nocturnal polyuria.,2017-03-03,Serenity Pharmaceuticals,Nocturia,Hormonal,Renal Disorders,,,
Odactra,house dust mite allergen extract,Sublingual Tablets,"Odactra (house dust mite allergen extract) is a sublingual allergy immunotherapy (SLIT) tablet indicated as immunotherapy for house dust mite (HDM)-induced allergic rhinitis, with or without conjunctivitis.",2017-03-01,Alk-Abelló,House Dust Mite Allergies,Immunological,Respiratory Diseases,,,
Xermelo,telotristat ethyl,Tablets,Xermelo (telotristat ethyl) is an oral tryptophan hydroxylase inhibitor indicated for use in combination with somatostatin analog (SSA) therapy for the treatment of carcinoid syndrome diarrhea in patients with metastatic neuroendocrine tumors.,2017-02-28,Lexicon Pharmaceuticals,Carcinoid Syndrome Diarrhea,Gastrointestinal,Gastrointestinal Diseases,,,
Qtern,dapagliflozin and saxagliptin,Tablets,Qtern (dapagliflozin and saxagliptin) is a sodium-glucose cotransporter 2 (SGLT2) inhibitor and dipeptidyl peptidase-4 (DPP4) inhibitor fixed-dose combination for the treatment of adult patients with type 2 diabetes.,2017-02-27,Astrazeneca,"Diabetes, Type 2",Antidiabetics,Endocrine Disorders,,,
Siliq,brodalumab,Injection,Siliq (brodalumab) is a human anti-interleukin-17-receptor monoclonal antibody for the treatment of plaque psoriasis.,2017-02-15,Valeant Pharmaceuticals International,Plaque Psoriasis,Immunological,Dermatological Conditions,,,
Emflaza,deflazacort,Tablets and Oral Suspension,"Emflaza (deflazacort) is a glucocorticoid indicated for the treatment of Duchenne
muscular dystrophy (DMD) in patients 2 years of age and older.",2017-02-09,Ptc Therapeutics,Duchenne Muscular Dystrophy,Anti-inflammatories,Musculoskeletal Disorders,,,
Parsabiv,etelcalcetide,Injection,Parsabiv (etelcalcetide) is a calcium-sensing receptor agonist indicated for the treatment of secondary hyperparathyroidism (HPT) in adult patients with chronic kidney disease (CKD) on hemodialysis.,2017-02-07,Amgen,Secondary Hyperparathyroidism,Hormonal,Endocrine Disorders,,,
ArmonAir RespiClick,fluticasone propionate,Inhalation Powder,"ArmonAir RespiClick (fluticasone propionate) is an inhaled corticosteroid in a breath-activated, multi-dose dry powder inhaler formulation for the treatment of asthma.",2017-01-27,Teva Pharmaceutical Industries,"Asthma, Maintenance",Respiratory,Respiratory Diseases,,,
AirDuo RespiClick,fluticasone propionate and salmeterol,Inhalation Powder,"AirDuo RespiClick (fluticasone propionate and salmeterol) is a corticosteroid and long-acting beta2-adrenergic agonist (LABA) combination in a breath-activated, multi-dose dry powder inhaler formulation for the treatment of asthma.",2017-01-27,Teva Pharmaceutical Industries,"Asthma, Maintenance",Respiratory,Respiratory Diseases,,,
Rhofade,oxymetazoline hydrochloride,Cream,Rhofade (oxymetazoline hydrochloride) is a topical alpha1Aadrenoceptor agonist vasoconstrictor for the treatment of persistent facial erythema associated with rosacea in adults.,2017-01-18,Allergan,Rosacea,Dermatological,Dermatological Conditions,,,
Trulance,plecanatide,Tablets,"Trulance (plecanatide) is a guanylate cyclase-C agonist for the treatment of chronic idiopathic constipation, and irritable bowel syndrome with constipation (IBS-C).",2017-01-19,Synergy Pharmaceuticals,"Constipation, Chronic, Irritable Bowel Syndrome",Gastrointestinal,Gastrointestinal Diseases,,,
Vantrela ER ,hydrocodone bitartrate,Extended-Release Tablets,Marketing Status:Discontinued,2017-01-17,Teva Pharmaceutical Industries,Pain,Analgesics,Pain,,,
Arymo ER,morphine sulfate,Extended-Release Tablets,Marketing Status:Discontinued,2017-01-09,Egalet,Pain,Analgesics,Pain,,,
Bydureon BCise,exenatide,Extended-Release Injectable Suspension,Bydureon BCise (exenatide) is a glucagon-like peptide-1 (GLP-1) receptor agonist indicated to improve glycemic control in patients with type 2 diabetes.,2017-10-20,Astrazeneca,"Diabetes, Type 2",Antidiabetics,Endocrine Disorders,,,
Afluria Quadrivalent,"influenza virus vaccine, inactivated",Injection,Afluria Quadrivalent is an inactivated influenza virus vaccine indicated for active immunization against influenza disease in persons 6 months of age and older.,2016-08-26,Seqirus,Influenza Prophylaxis,Vaccines,Infectious Diseases,,,
Tirosint-SOL,levothyroxine sodium,Oral Solution,"Tirosint-SOL is an oral liquid formulation of levothyroxine (T4) for the treatment of hypothyroidism and for pituitary thyrotropin (thyroid stimulating hormone, TSH) suppression.",2016-12-15,Institut Biochimique,"Underactive Thyroid, TSH Suppression",Hormonal,Endocrine Disorders,,,
Spinraza,nusinersen,Injection,"Spinraza (nusinersen) is a survival motor neuron-2 (SMN2)-directed antisense
oligonucleotide indicated for the treatment of spinal muscular atrophy (SMA) in  pediatric and adult patients.",2016-12-23,Biogen,Spinal Muscular Atrophy,Neurological,Genetic Disorders,,,
Rubraca,rucaparib,Tablets,Rubraca (rucaparib) is a poly (ADP-ribose) polymerase (PARP) inhibitor for the treatment of ovarian cancer and prostate cancer.,2016-12-19,Clovis Oncology,"Ovarian Cancer, Prostate Cancer",Antineoplastics,Cancers,,,
Eucrisa,crisaborole,Topical Ointment,Eucrisa (crisaborole) is a phosphodiesterase 4 inhibitor indicated for topical treatment of mild to moderate atopic dermatitis in adult and pediatric patients 3 months of age and older.,2016-12-14,Pfizer,Atopic Dermatitis,Dermatological,Dermatological Conditions,,,
Soliqua 100/33,insulin glargine and lixisenatide,Injection,"Soliqua 100/33 (insulin glargine and lixisenatide) is fixed-ratio combination of the long-acting human insulin analog insulin glargine (Lantus) and the glucagon-like peptide-1 (GLP-1) receptor agonist lixisenatide (Adlyxin), indicated as an adjunct to diet and exercise to improve  glycemic control in adults with type 2 diabetes.",2016-11-21,Sanofi,"Diabetes, Type 2",Antidiabetics,Endocrine Disorders,,,
Xultophy,insulin degludec and liraglutide,Injection,"Xultophy 100/3.6 (insulin degludec and liraglutide) is a fixed-ratio combination of the long-acting basal insulin analog, insulin degludec (Tresiba), and the a glucagon-like peptide-1 (GLP-1) receptor agonist liraglutide (Victoza), indicated as an adjunct to diet and exercise to improve  glycemic control in adults with type 2 diabetes.",2016-11-21,Novo Nordisk,"Diabetes, Type 2",Antidiabetics,Endocrine Disorders,,,
Intrarosa,prasterone,Vaginal Inserts,"Intrarosa (prasterone) is a once-daily, vaginally administered steroid indicated to treat postmenopausal women experiencing moderate to severe pain during sexual intercourse (dyspareunia) as a symptom of vulvar and vaginal atrophy.",2016-11-17,Endoceutics,Dyspareunia,Hormonal,Reproductive System Disorders,,,
Vemlidy,tenofovir alafenamide,Tablets,Vemlidy (tenofovir alafenamide) is a hepatitis B virus (HBV) nucleoside analog reverse transcriptase inhibitor indicated for the treatment of chronic hepatitis B virus infection in adults and pediatric patients 6 years of age and older and weighing at least 25 kg with compensated liver disease.,2016-11-10,Gilead Sciences,Hepatitis B,Antivirals,Hepatic Disorders,,,
Zinplava,bezlotoxumab,Injection,"Zinplava (bezlotoxumab) is a selective, fully-human, monoclonal antibody that binds toClostridium difficiletoxin B, indicated to reduce recurrence ofClostridium difficileinfection (CDI) in patients 18 years of age or older.",2016-10-21,Merck,Prevention of <i>Clostridium Difficile</i> Infection Recurrence,Immunological,Infectious Diseases,,,
Lartruvo,olaratumab,Injection,Lartruvo (olaratumab) is a platelet-derived growth factor receptor alpha (PDGFR-α) blocking antibody indicated in combination with doxorubicin for the treatment of patients with advanced soft tissue sarcoma (STS).,2016-10-19,Eli Lilly,Soft Tissue Sarcoma,Antineoplastics,Cancers,,,
Carnexiv,carbamazepine,Injection,Marketing Status:Discontinued,2016-10-07,Lundbeck,Seizures,Neurological,Neurological Disorders,,,
Amjevita,adalimumab-atto,Injection,"Amjevita (adalimumab-atto) an anti-TNF-α monoclonal antibody biosimilar to Humira indicated for the treatment of rheumatoid arthritis, juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, plaque psoriasis, hidradenitis suppurativa, and uveitis.",2016-09-23,Amgen,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis",Immunological,Autoimmune Diseases,,,
Lomaira,phentermine hydrochloride,Tablets,Lomaira (phentermine hydrochloride) is a sympathomimetic amine anorectic used short-term for weight reduction in overweight or obese adults.,2016-09-13,Kvk Tech,"Weight Loss (Obesity/Overweight), Weight Loss (Obesity/Overweight)",Weight Loss (Obesity/Overweight),Nutritional Disorders,,,
Kyleena,levonorgestrel,Releasing Intrauterine System,Kyleena (levonorgestrel-releasing intrauterine system) is a low-dose progestin-containing intrauterine system (IUS) indicated for the prevention of pregnancy for up to  five years.,2016-09-16,Bayer,Birth Control,Hormonal,Reproductive System Disorders,,,
Exondys 51,eteplirsen,Injection,"Exondys 51 (eteplirsen) is an antisense oligonucleotide indicated for the treatment of
Duchenne muscular dystrophy (DMD) in patients who have a confirmed
mutation of the DMD gene that is amenable to exon 51 skipping.",2016-09-19,Sarepta Therapeutics,Duchenne Muscular Dystrophy,Neurological,Musculoskeletal Disorders,,,
Yosprala,aspirin and omeprazole,Delayed-Release Tablets,Yosprala (aspirin and omeprazole) is a platelet aggregation inhibitor and proton pump inhibitor combination indicated for patients who require aspirin for secondary prevention of cardiovascular (CV) and cerebrovascular events and who are at risk of developing aspirin associated gastric ulcers.,2016-09-14,Aralez Pharmaceuticals,"Ischemic Stroke, Prophylaxis, Gastric Ulcer Prophylaxis",Cardiovascular,Gastrointestinal Diseases,,,
Cuvitru,immune globulin subcutaneous (human),Injection,Cuvitru (immune globulin subcutaneous (human)) is indicated as replacement therapy in the treatment of primary humoral immunodeficiency (PI).,2016-09-13,Shire,Primary Immunodeficiency Syndrome,Immunological,Hematological Disorders,,,
Erelzi,etanercept-szzs,Injection,"Erelzi (etanercept-szzs) is a tumor necrosis factor (TNF) blocker biosimilar to Enbrel indicated for the treatment of rheumatoid arthritis (RA), polyarticular juvenile idiopathic arthritis (JIA), psoriatic arthritis, ankylosing spondylitis, and plaque psoriasis.",2016-08-30,Sandoz,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Plaque Psoriasis",Immunological,Musculoskeletal Disorders,,,
Afluria Quadrivalent,"influenza virus vaccine, inactivated",Injection,Afluria Quadrivalent is an inactivated influenza virus vaccine indicated for active immunization against influenza disease in persons 6 months of age and older.,2016-08-26,Seqirus,Influenza Prophylaxis,Vaccines,Infectious Diseases,,,
Otovel,ciprofloxacin and fluocinolone acetonide,Otic Solution,Otovel otic solution (ciprofloxacin and fluocinolone acetonide) is a fluoroquinolone antibacterial and corticosteroid combination indicated for the treatment of acute otitis media with tympanostomy tubes (AOMT) in pediatric patients.,2016-04-29,Laboratorios Salvat  And Arbor Pharmaceuticals,Acute Otitis Media with Tympanostomy Tubes,Antibiotics,Infectious Diseases,,,
Troxyca ER,naltrexone and oxycodone,Extended-Release Capsules,Marketing Status:Discontinued,2016-08-19,Pfizer,Pain,Analgesics,Pain,,,
Sustol,granisetron,Extended-Release Injection,Sustol (granisetron) is a long-acting 5-HT3 antagonist indicated for the prevention of chemotherapy-induced nausea and vomiting (CINV) associated with moderately emetogenic chemotherapy (MEC) or anthracycline and cyclophosphamide (AC) combination chemotherapy regimens.,2016-08-09,Heron Therapeutics,"Nausea/Vomiting, Chemotherapy Induced",Antineoplastics,Gastrointestinal Diseases,,,
Flonase Sensimist,fluticasone furoate,Nasal Spray,Flonase Sensimist (fluticasone furoate) is an over-the-counter corticosteroid nasal spray indicated for the treatment of symptoms associated with seasonal and perennial allergies in adults and children ages 2 years and older.,2016-08-02,Gsk Consumer Healthcare,Allergic Rhinitis,Respiratory,Respiratory Diseases,,,
Qbrelis,lisinopril,Oral Solution,"Qbrelis (lisinopril) is an oral solution formulation of the approved angiotensin converting enzyme (ACE) inhibitor lisinopril indicated for the treatment of hypertension in adult patients and pediatric patients 6 years of age and older, adjunct therapy for heart failure, and treatment of acute myocardial infarction in adults.",2016-07-29,Silvergate Pharmaceuticals,"High Blood Pressure, Heart Failure, Heart Attack",Cardiovascular,Cardiovascular Diseases,,,
Adlyxin,lixisenatide,Injection,"Adlyxin (lixisenatide) is a once-daily prandial GLP-1
receptor agonist for the treatment of adults with type 2 diabetes
mellitus.",2016-07-27,Sanofi,"Diabetes, Type 2",Antidiabetics,Endocrine Disorders,,,
Viekira XR,"dasabuvir, ombitasvir, paritaprevir and ritonavir",Extended-Release Tablets,Marketing Status:Discontinued,2016-07-22,Abbvie,Hepatitis C,Antivirals,Hepatic Disorders,,,
Xiidra,lifitegrast,Ophthalmic Solution,Xiidra (lifitegrast) is a lymphocyte function-associated antigen-1 (LFA-1) antagonist indicated for the treatment of the signs and symptoms of dry eye disease.,2016-07-11,Shire,Dry Eye Disease,Ophthalmological,Ophthalmological Disorders,,,
Kovanaze,oxymetazoline hydrochloride and tetracaine hydrochloride,Nasal Spray,Kovanaze (oxymetazoline hydrochloride and tetracaine hydrochloride) is a vasoconstrictor and local anesthetic combination administered intranasally as a topical anesthetic for use in restorative dental procedures.,2016-06-29,St Renatus,Dental Anesthesia,Anesthetics,Neurological Disorders,,,
Syndros,dronabinol,Oral Solution,"Syndros (dronabinol) is an orally administered liquid formulation of the pharmaceutical cannabinoid dronabinol, a pharmaceutical version of tetrahydrocannabinol (THC) approved for use in treating anorexia associated with weight loss in patients with AIDS, and nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments.",2016-07-01,Insys Therapeutics,Anorexia -- AIDS Patients, Nausea/Vomiting -- Chemotherapy Induced,Neurological,Nutritional Disorders,,
Epclusa,sofosbuvir and velpatasvir,Tablets and Oral Pellets,Epclusa (sofosbuvir and velpatasvir) is a nucleotide analog polymerase inhibitor and pan-genotypic NS5A inhibitor fixed-dose combination for the treatment of chronic genotype 1-6 hepatitis C virus (HCV) infection.,2016-06-28,Gilead Sciences,Hepatitis C,Antivirals,Hepatic Disorders,,,
Rayaldee,calcifediol,Extended Release Capsules,Rayaldee (calcifediol) is a vitamin D3 analog indicated for the treatment of secondary hyperparathyroidism associated with vitamin D Insufficiency in stage 3-4 chronic kidney disease.,2016-06-17,Opko Health,Secondary Hyperparathyroidism,Nutritional Supplements,Endocrine Disorders,,,
GoNitro,nitroglycerin,Sublingual Powder,GoNitro (nitroglycerin) is a nitrate vasodilator indicated for acute relief of an attack or prophylaxis of angina pectoris due to coronary artery disease.,2016-06-08,Espero Pharmaceuticals,Angina Pectoris Prophylaxis,Cardiovascular,Cardiovascular Diseases,,,
Vaxchora,"cholera vaccine, live, oral",Suspension for Oral Administration,"Vaxchora (cholera vaccine, live, oral) is a vaccine indicated for active immunization against disease caused byVibrio choleraeserogroup O1 in adults traveling to cholera-affected areas.",2016-06-10,Emergent Biosolutions,Cholera Prophylaxis,Vaccines,Gastrointestinal Diseases,,,
Byvalson,nebivolol and valsartan,Tablets,Marketing Status:Discontinued,2016-06-03,Forest,High Blood Pressure,Cardiovascular,Cardiovascular Diseases,,,
Netspot,gallium Ga 68 dotatate,Injection,"Netspot (gallium Ga 68 dotatate) is a radioactive diagnostic
agent indicated for use with positron emission tomography (PET) for
localization of somatostatin receptor positive neuroendocrine tumors",2016-06-01,Advanced Accelerator Applications,Diagnosis and Investigation,Antineoplastics,Neurological Disorders,,,
Zinbryta,daclizumab,Injection,Zinbryta (daclizumab) is an interleukin-2 receptor blocking antibody indicated for the treatment of relapsing forms of multiple sclerosis (MS).,2016-05-27,Abbvie  And Biogen,Multiple Sclerosis,Immunological,Neurological Disorders,,,
Axumin,fluciclovine F 18,Injection,"Axumin (fluciclovine F 18) a radioactive diagnostic agent indicated for positron emission
tomography (PET) imaging in men with suspected recurrent prostate cancer.",2016-05-27,Blue Earth Diagnostics,Diagnosis and Investigation,Antineoplastics,Neurological Disorders,,,
Ocaliva,obeticholic acid,Tablets,Ocaliva (obeticholic acid) is a first-in-class farnesoid X receptor (FXR) agonist for the treatment of primary biliary cholangitis.,2016-05-27,Intercept Pharmaceuticals,Primary Biliary Cholangitis,Gastrointestinal,Hepatic Disorders,,,
Probuphine,buprenorphine,Implant,Probuphine (buprenorphine) is an opioid partial agonist subdermal implant for the treatment of opioid dependence.,2016-05-26,Titan Pharmaceuticals,Opioid Use Disorder,Analgesics,Mental Health Disorders,,,
Afstyla,"antihemophilic factor (recombinant), single chain",Injection,"Afstyla (antihemophilic factor (recombinant), single chain, is a recombinant,
antihemophilic factor indicated for the control and prevention of bleeding episodes in adults and children with hemophilia A.",2016-05-25,Csl Behring,Hemophilia A,Immunological,Hematological Disorders,,,
Flucelvax Quadrivalent,"influenza virus vaccine, inactivated",,Flucelvax Quadrivalent is an inactivated influenza vaccine indicated for active immunization for active immunization against influenza disease in people 2 years of age and older.,2016-05-23,Seqirus,Influenza Prophylaxis,Vaccines,Infectious Diseases,,,
Tecentriq,atezolizumab,Injection,"Tecentriq (atezolizumab) is a programmed death-ligand 1 (PD-L1) blocking antibody indicated for use in the treatment of non-small cell lung cancer (NSCLC), 
 small cell lung cancer (SCLC), heptatocellular carcinoma, melanoma, and alveolar soft part sarcoma.",2016-05-18,Genentech,"Non-Small Cell Lung Cancer, Small Cell Lung Cancer, Hepatocellular Carcinoma, Melanoma, Alveolar Soft Part Sarcoma",Antineoplastics,Cancers,,,
Ameluz,aminolevulinic acid,Gel,Ameluz (aminolevulinic acid) is a porphyrin precursor used in combination with the BF-RhodoLED lamp for photodynamic therapy (PDT) treatment of actinic keratoses on the face and scalp.,2016-05-10,Biofrontera,Actinic Keratosis,Dermatological,Dermatological Conditions,,,
Akovaz,ephedrine sulfate,Injection,Akovaz (ephedrine sulfate) is a pressor agent administered parenterally to address clinically important hypotension in surgical settings.,2016-04-29,Flamel Technologies,Hypotension,Cardiovascular,Cardiovascular Diseases,,,
Nuplazid,pimavanserin,Tablets and Capsules,"Nuplazid (pimavanserin) is a non-dopaminergic, selective serotonin inverse agonist (SSIA) for the treatment of psychosis associated with Parkinson’s disease.",2016-04-29,Acadia Pharmaceuticals,Parkinson’s Disease Psychosis,Antipsychotics,Neurological Disorders,,,
Xtampza ER,oxycodone,Extended-Release Capsules,"Xtampza ER (oxycodone) is an extended-release, abuse-deterrent, narcotic analgesic for the treatment of chronic pain.",2016-04-26,Collegium Pharmaceutical,Chronic Pain,Analgesics,Musculoskeletal Disorders,,,
Cabometyx,cabozantinib,Tablets,"Cabometyx (cabozantinib) is a tyrosine kinase inhibitor used for the treatment of advanced renal cell carcinoma (RCC), hepatocellular carcinoma (HCC), and differentiated thyroid cancer (DTC).",2016-04-25,Exelixis,"Renal Cell Carcinoma, Hepatocellular Carcinoma, Thyroid Cancer",Antineoplastics,Cancers,,,
Bevespi Aerosphere,formoterol fumarate and glycopyrrolate,Inhalation Aerosol,"Bevespi Aerosphere (formoterol fumarate and glycopyrrolate) is a long
-acting beta2-adrenergic agonist (LABA) and anticholinergic combination indicated for the long-term, maintenance treatment of airflow 
obstruction in patients with chronic obstructive pulmonary disease (COPD).",2016-04-25,Astrazeneca Pharmaceuticals,COPD,Respiratory,Respiratory Diseases,,,
Venclexta,venetoclax,Tablets,Venclexta (venetoclax) is an oral B-cell lymphoma-2 (BCL-2) inhibitor indicated:,2016-04-11,Abbvie,"Chronic Lymphocytic Leukemia, Acute Myeloid Leukemia",Antineoplastics,Hematological Disorders,,,
BromSite,bromfenac,Ophthalmic Solution,BromSite (bromfenac) is a low dose nonsteroidal anti-inflammatory drug (NSAID) ophthalmic solution for the treatment of inflammation and prevention of pain in patients undergoing cataract surgery.,2016-04-08,Sun Pharmaceutical Industries,Postoperative Ocular Inflammation,Ophthalmological,Ophthalmological Disorders,,,
Inflectra,infliximab-dyyb,Injection,"Inflectra (infliximab-dyyb) is a tumor necrosis factor (TNF) blocker biosimilar to Remicade (infliximab) indicated for the treatment of Crohn’s disease, ulcerative colitis, rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis and plaque psoriasis.",2016-04-05,Celltrion,"Crohn's Disease, Maintenance, Ulcerative Colitis, Rheumatoid Arthritis, Ankylosing Spondylitis, Psoriatic Arthritis, Plaque Psoriasis",Immunological,Autoimmune Diseases,,,
Descovy,emtricitabine and tenofovir alafenamide,Tablets,"Descovy (emtricitabine and tenofovir alafenamide) is a nucleoside analog HIV-1 reverse transcriptase inhibitor (NRTI) and nucleotide reverse transcriptase inhibitor (NtRTI) fixed-dose combination for the treatment of HIV-1 infection, and for pre-exposure prophylaxis (PrEP) to reduce the risk of HIV-1 infection.",2016-04-04,Gilead Sciences,"HIV Infection, Pre-Exposure Prophylaxis",Antivirals,Infectious Diseases,,,
Defitelio,defibrotide,Injection,Defitelio (defibrotide sodium) is a deoxyribonucleic acid derivative anticoagulant for the treatment of patients with hepatic veno-occlusive disease (VOD) with renal or pulmonary dysfunction following hematopoietic stem-cell transplantation (HSCT).,2016-03-30,Jazz Pharmaceuticals,Hepatic Veno-Occlusive Disease,Cardiovascular,Hepatic Disorders,,,
Cinqair,reslizumab,Injection,Cinqair (reslizumab) is an interleukin 5 antagonist monoclonal antibody (IgG4 kappa) indicated for add-on maintenance treatment of patients with eosinophilic asthma.,2016-03-23,Teva Pharmaceutical Industries,Asthma,Respiratory,Respiratory Diseases,,,
Taltz,ixekizumab,Injection,Taltz (ixekizumab) is a humanized interleukin-17A antagonist indicated for the treatment of:,2016-03-22,Eli Lilly,"Plaque Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis",Immunological,Musculoskeletal Disorders,,,
Anthim,obiltoxaximab,Injection,Anthim (obiltoxaximab) is a monoclonal antibody (mAb) anthrax antitoxin for the treatment and prevention of inhalational anthrax.,2016-03-18,Elusys Therapeutics,"Anthrax Prophylaxis, Anthrax",Immunological,Infectious Diseases,,,
Kovaltry,antihemophilic factor (recombinant),Injection,"Kovaltry (antihemophilic factor (recombinant)) is a human DNA sequence derived, full length Factor VIII concentrate indicated for the control and prevention of bleeding episodes in adults and children with hemophilia A.",2016-03-16,Bayer Healthcare Pharmaceuticals,Hemophilia A,Hormonal,Hematological Disorders,,,
Evomela,melphalan,Injection,"Evomela (melphalan) is an alkylating agent used as a high-dose conditioning treatment prior to stem cell transplantation in patients with multiple myeloma (MM), and for the palliative treatment of patients with MM for whom oral therapy is not appropriate.",2016-03-10,Spectrum Pharmaceuticals,Multiple Myeloma,Antineoplastics,Hematological Disorders,,,
